"Products","2007-08 Qty ( In MTS)","2007-08 Value( In ` Lakh)","2008-09 Qty ( In MTS)","2008-09 Value( In ` Lakh)","2009-10  Qty ( In MTS)","2009-10  Value( In ` Lakh)","2010-11  Qty ( In MTS)","2010-11  Value( In ` Lakh)"
"Floriculture","36240.71","34014.42","30798.34","36881.41","26814.52","29446.36","2777614","2864541"
"Fruit and Vegetables Seeds","10157.13","14212.29","8535.53","11999.09","8883.860000000001","14507.51","1118250","1751952"
"Floriculture & Seed Total","46397.84","48226.71","39333.87","48880.50","35698.38","43953.87","3895864","4616493"
"Fresh Onions","1008606.48","103577.89","1670186.29","182752.21","1664922.39","231942.98","116347258","17415541"
"Other Fresh Vegetables","350235.47","48949.01","505285.46","68020.32","419241.35","73185.89999999999","49091405","8929361"
"Dried Nuts (Walnuts)","6716.48","16207.80","5696.34","14123.63","9073.379999999999","19789.51","524458","1565059"
"Fresh Mangoes","54350.80","12741.76","83703.18","17071.25","74460.61","20053.98","5922077","1629213"
"Fresh Grapes","96963.57","31782.51","124627.97","40861.28","131153.61","54533.89","9931183","4120632"
"Other Fresh Fruits","207700.78","30452.60","256768.53","43086.84","260675.43","52283.32","25385099","4896474"
"Fresh Fruits & Vegetables Total","1724573.58","243711.57","2646267.77","365915.53","2559526.77","451789.58","207201480","38556280"
"Dried and Preserved Vegetables","125726.28","42993.81","147861.22","49641.51","124613.5","53207.48","11017391","5169709"
"Mango Pulp","166752.17","50968.51","173013.60","75298.90","186197.85","74460.77","17192943","8140066"
" Other Processed Fruits and Vegetables","311756.29","96281.65","387126.42","137179.00","397978.17","143550.63","34006797","13163553"
"Processed Fruits and Vegetables Total","604234.74","190243.97","708001.24","262119.41","708789.52","271218.88","62217131","26473328"
